bcg_hr,rr_hr,bcg_timestamp,bcg_readable_time,rr_timestamp,rr_readable_time
78.36339348416081,82.40845070422536,1699091916.2790005,2023-11-04 11:58:36.279,1699128290.0,2023-11-04 22:04:50.000
59.68277290905501,81.69135802469135,1699091916.2990005,2023-11-04 11:58:36.299,1699128350.0,2023-11-04 22:05:50.000
78.49867042228539,80.23456790123457,1699091916.3190005,2023-11-04 11:58:36.319,1699128410.0,2023-11-04 22:06:50.000
85.24731881613818,84.85526315789474,1699091916.3390007,2023-11-04 11:58:36.339,1699128470.0,2023-11-04 22:07:50.000
76.6898851581634,96.4639175257732,1699091916.3590007,2023-11-04 11:58:36.359,1699128530.0,2023-11-04 22:08:50.000
81.76058730218956,93.42857142857143,1699091916.3790007,2023-11-04 11:58:36.379,1699128590.0,2023-11-04 22:09:50.000
64.1183995379991,82.16666666666667,1699091916.3990006,2023-11-04 11:58:36.399,1699128650.0,2023-11-04 22:10:50.000
59.08191003306223,83.12941176470588,1699091916.4190006,2023-11-04 11:58:36.419,1699128710.0,2023-11-04 22:11:50.000
81.48120683043756,79.49253731343283,1699091916.4390006,2023-11-04 11:58:36.439,1699128770.0,2023-11-04 22:12:50.000
59.18699915093903,77.925,1699091916.4590006,2023-11-04 11:58:36.459,1699128830.0,2023-11-04 22:13:50.000
61.283851977459385,76.87323943661971,1699091916.4790006,2023-11-04 11:58:36.479,1699128890.0,2023-11-04 22:14:50.000
84.13661349665674,77.89041095890411,1699091916.4990008,2023-11-04 11:58:36.499,1699128950.0,2023-11-04 22:15:50.000
87.71183567693166,77.31168831168831,1699091916.5190008,2023-11-04 11:58:36.519,1699129010.0,2023-11-04 22:16:50.000
56.007367763912896,74.046875,1699091916.5390007,2023-11-04 11:58:36.539,1699129070.0,2023-11-04 22:17:50.000
89.49168753250244,74.82666666666667,1699091916.5590007,2023-11-04 11:58:36.559,1699129130.0,2023-11-04 22:18:50.000
82.83832705189403,76.18666666666667,1699091916.5790007,2023-11-04 11:58:36.579,1699129190.0,2023-11-04 22:19:50.000
72.23755772913138,77.97014925373135,1699091916.5990007,2023-11-04 11:58:36.599,1699129250.0,2023-11-04 22:20:50.000
66.21960408736713,79.27160493827161,1699091916.6190007,2023-11-04 11:58:36.619,1699129310.0,2023-11-04 22:21:50.000
88.76404615378368,77.84848484848484,1699091916.6390007,2023-11-04 11:58:36.639,1699129370.0,2023-11-04 22:22:50.000
54.868659529058135,73.08219178082192,1699091916.6590009,2023-11-04 11:58:36.659,1699129430.0,2023-11-04 22:23:50.000
59.907885491536774,76.75,1699091916.6790009,2023-11-04 11:58:36.679,1699129490.0,2023-11-04 22:24:50.000
70.62640651654002,75.8225806451613,1699091916.6990008,2023-11-04 11:58:36.699,1699129550.0,2023-11-04 22:25:50.000
82.48340992087695,75.23376623376623,1699091916.7190008,2023-11-04 11:58:36.719,1699129610.0,2023-11-04 22:26:50.000
88.07550535450736,76.2,1699091916.7390008,2023-11-04 11:58:36.739,1699129670.0,2023-11-04 22:27:50.000
54.22229147597563,77.1038961038961,1699091916.7590008,2023-11-04 11:58:36.759,1699129730.0,2023-11-04 22:28:50.000
73.36420512783702,75.0657894736842,1699091916.7790008,2023-11-04 11:58:36.779,1699129790.0,2023-11-04 22:29:50.000
84.56461345031373,74.18461538461538,1699091916.7990007,2023-11-04 11:58:36.799,1699129850.0,2023-11-04 22:30:50.000
81.5667231659488,91.50526315789473,1699091916.8190007,2023-11-04 11:58:36.819,1699129910.0,2023-11-04 22:31:50.000
64.74791067124262,95.12345679012346,1699091916.839001,2023-11-04 11:58:36.839,1699129970.0,2023-11-04 22:32:50.000
61.411432664115466,87.51136363636364,1699091916.859001,2023-11-04 11:58:36.859,1699130030.0,2023-11-04 22:33:50.000
81.48558255071809,77.43589743589743,1699091916.879001,2023-11-04 11:58:36.879,1699130090.0,2023-11-04 22:34:50.000
84.9029675972067,81.94117647058823,1699091916.899001,2023-11-04 11:58:36.899,1699130150.0,2023-11-04 22:35:50.000
61.18698646834291,77.5125,1699091916.9190009,2023-11-04 11:58:36.919,1699130210.0,2023-11-04 22:36:50.000
57.21206190747093,76.67692307692307,1699091916.9390008,2023-11-04 11:58:36.939,1699130270.0,2023-11-04 22:37:50.000
63.66803668931755,74.67105263157895,1699091916.9590008,2023-11-04 11:58:36.959,1699130330.0,2023-11-04 22:38:50.000
77.36373141624482,72.78378378378379,1699091916.9790008,2023-11-04 11:58:36.979,1699130390.0,2023-11-04 22:39:50.000
60.59239528897852,73.65151515151516,1699091916.999001,2023-11-04 11:58:36.999,1699130450.0,2023-11-04 22:40:50.000
61.50415536836183,73.94520547945206,1699091917.019001,2023-11-04 11:58:37.019,1699130510.0,2023-11-04 22:41:50.000
75.59380052433441,70.93548387096774,1699091917.039001,2023-11-04 11:58:37.039,1699130570.0,2023-11-04 22:42:50.000
76.71252244685871,77.30263157894737,1699091917.059001,2023-11-04 11:58:37.059,1699130630.0,2023-11-04 22:43:50.000
82.14970583715332,76.15789473684211,1699091917.079001,2023-11-04 11:58:37.079,1699130690.0,2023-11-04 22:44:50.000
60.92241657909515,77.9076923076923,1699091917.099001,2023-11-04 11:58:37.099,1699130750.0,2023-11-04 22:45:50.000
78.21955767125417,72.78947368421052,1699091917.119001,2023-11-04 11:58:37.119,1699130795.808786,2023-11-04 22:46:35.808
